,Type,Broker,Title,Rooms,Price,Location,Link,Bedrooms,Bathrooms,Neighborhood,City
0,Casa ,Lai Realty,"Paseo Las Olas - 504 m/c, Terraza con...",4 Cuartos | 3 Baños,"$668,000","Urbanizacion-Paseo Las Olas , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4703764,4,3,Urbanizacion-Paseo Las Olas , Dorado
1,Apt/WalkUp ,HEYLIGER REAL ESTATE,"*APROVECHA REMODELADO, EQUIPADO & AMU...",2 Cuartos | 1 Baños,"$239,000","Condominio-Villa Marina Village , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819029,2,1,Condominio-Villa Marina Village , Fajardo
2,Comercial ,Elite Realty LLC,Beautiful Commercial Space - High Flo...,1 Cuartos | 2 Baños,"$1,900,000","Condominio-Firstbank Building , San Juan - Santurce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4744137,1,2,Condominio-Firstbank Building , San Juan - Santurce
3,Comercial ,Lai Realty,Esquina Amalia Paoli y Gregorio Ledes...,4 Cuartos | 5 Baños,"$330,000","Urbanizacion-Levittown , Toa Baja - Levittown",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4714414,4,5,Urbanizacion-Levittown , Toa Baja - Levittown
4,Comercial ,Lai Realty,"Levittown - Esquina, 4,000 p/c con 4 ...",4 Cuartos | 5 Baños,"$330,000","Urbanizacion-Levittown , Toa Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4714376,4,5,Urbanizacion-Levittown , Toa Baja
5,Apt/WalkUp ,LUXE by Reality Realty,"Cond. Harbour Lakes, Palmas del Mar, ...",3 Cuartos | 2 Baños,"$439,000","Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4804898,3,2,Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas
6,Casa ,BLUE PRINT FIRM INC.,**THE ORIGINAL MONTEHIEDRA** LUXURY A...,4 Cuartos | 3 Baños,"$1,950,000","Urbanizacion-Montehiedra , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816257,4,3,Urbanizacion-Montehiedra , San Juan - Río Piedras
7,Solar ,RE/MAX Dorado Realty,"Solar en Venta Bo. Candelaria, Vega A...",,"$59,000","Barrio-Candelaria , Vega Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4774011,,,Barrio-Candelaria , Vega Alta
8,Casa ,Corales Realty,El Rincón en Juana Díaz,2 Cuartos | 1 Baños,"$60,000","Barrio-Pueblo - Casco Urbano , Juana Díaz",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819743,2,1,Barrio-Pueblo - Casco Urbano , Juana Díaz
9,Casa ,Universal Properties,GRAN OPORTUNIDAD @J@,3 Cuartos | 1 Baños,"$34,900","Barrio-Garrochales , Barceloneta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4807717,3,1,Barrio-Garrochales , Barceloneta
10,MultiFamiliar ,REALITY REALTY,"Bo. Padilla, Corozal",5 Cuartos | 2 Baños,"$325,000","Barrio-Padilla , Corozal",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813859,5,2,Barrio-Padilla , Corozal
11,Casa ,J REALTY,URB. LOMAS DE CAMPO ALEGRE,5 Cuartos | 4 Baños,"$375,000","Urbanizacion-Lomas De Campo Alegre , Humacao",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4790715,5,4,Urbanizacion-Lomas De Campo Alegre , Humacao
12,Finca ,House Hunt Real Estate,SOLAR 943 METROS ,,"$74,999","Barrio-Culebrinas , San Sebastián",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4759943,,,Barrio-Culebrinas , San Sebastián
13,Solar ,Universal Properties Real Estate Inc,GRAN OPORTUNIDAD,,"$69,900","Barrio-Pozas , San Sebastián",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4814712,,,Barrio-Pozas , San Sebastián
14,Solar ,Mares Mgmt. Realty Expert Solutions,CARR 763 Km 6.0 Int Bo Guavate Villa ...,,"$139,895","Sector-Coqui , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4761577,,,Sector-Coqui , Cayey
