Type,Broker,Title,Rooms,Price,Location,Link,Bedrooms,Bathrooms,Neighborhood,City
Solar ,House Hunt Real Estate #18152,BO. CACAO,,"$57,999","Barrio-Cacao , Quebradillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4767842,0,0,Barrio-Cacao , Quebradillas
Comercial Repo,SKY REALTY (zona 2),Comercial * Cupey Bajo * REO,,"$285,000","Barrio-Cupey Bajo , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4802915,0,0,Barrio-Cupey Bajo , San Juan - Río Piedras
Casa ,Palma Real Property Group,URB CIUDAD JARDIN-LOS ALTOS-1006 M2,4 Cuartos | 3 Baños,"$638,000","Urbanizacion-Los Altos De Ciudad Jardin , Gurabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816780,4,3,Urbanizacion-Los Altos De Ciudad Jardin , Gurabo
Solar ,Dream Properties LLC,Terreno de 20 cuerdas frente al Lago ...,,"$175,000","Barrio-Marin , Patillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817751,0,0,Barrio-Marin , Patillas
Casa ,RepoExperts,"SONADORA , AGUAS BUENAS MANSION",>=6 Cuartos | 5 Baños,"$1,150,000","Barrio-Sonadora , Aguas Buenas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4769002,6,5,Barrio-Sonadora , Aguas Buenas
Casa ,Arrieta Realty Group,Urb. Estancias Reales Guaynabo,4 Cuartos | 2 Baños,"$1,095,000","Urbanizacion-Estancias Reales , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4814485,4,2,Urbanizacion-Estancias Reales , Guaynabo
Apartamento ,Edgar Molinary,LA COSTA GARDEN APARTMENTS,3 Cuartos | 2 Baños,"$187,000","Condominio-La Costa , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4805732,3,2,Condominio-La Costa , Fajardo
Apartamento ,1RUIZ REALTY GROUP ,BELLA VISTA APT 3 H Y 2 B 2  PISCINA ,3 Cuartos | 2 Baños,"$194,500","Condominio-Balcones De San Juan , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4815230,3,2,Condominio-Balcones De San Juan , San Juan - Río Piedras
Casa ,Dream Realty,PROPIEDAD (multi-uso),>=6 Cuartos | 3 Baños,"$975,000","Urbanizacion-Royal Town , Bayamón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4645731,6,3,Urbanizacion-Royal Town , Bayamón
Casa ,Unlimited Realty Group,Llanos Costa,3 Cuartos | 2 Baños,"$245,000","Barrio-Llanos Costa , Cabo Rojo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4814244,3,2,Barrio-Llanos Costa , Cabo Rojo
Finca ,Imperial Real Estate Broker,"Terreno Humacao 5,612.53M/C",,"$69,000","Barrio-Buena Vista , Humacao",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4771115,0,0,Barrio-Buena Vista , Humacao
Casa ,TU CASA PR,Urb Alturas de Bucarrabones! Excelent...,3 Cuartos | 1 Baños,"$159,900","Urbanizacion-Alturas De Bucarabones , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4811148,3,1,Urbanizacion-Alturas De Bucarabones , Toa Alta
Comercial ,ARK Real Estate,OPORTUNIDAD ÚNICA-PUERTA DE TIERRA,>=6 Cuartos | 4 Baños,"$575,000","Sector-Puerta De Tierra , San Juan - Viejo SJ",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819307,6,4,Sector-Puerta De Tierra , San Juan - Viejo SJ
Comercial ,Del Valle Realty,"Hogar Envejecie Trujillo Alto, Bo. La...",5 Cuartos | 4 Baños,"$350,000","Barrio-La Gloria , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4810105,5,4,Barrio-La Gloria , Trujillo Alto
Apartamento ,Elite Realty LLC,Cond. Aquablue - Stunning Garden Unit ,2 Cuartos | 2 Baños,"$895,000","Condominio-Aquablue , San Juan - Hato Rey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4817217,2,2,Condominio-Aquablue , San Juan - Hato Rey
