Title,Rooms,Price,Type,Location,Link,Broker,Bedrooms,Bathrooms,Neighborhood,City
REPARTO ALEXANDRA,3 Cuartos | 3 Baños,"$379,000",Casa,"Barrio-Algarrobo , Vega Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4749876,Algarrobo de ANFE ADORNO,3,3,Barrio-Algarrobo,Vega Baja
Multi-Familiar de 2 Unidades en Bo. C...,>=6 Cuartos | 4 Baños,"$310,000",MultiFamiliar ,"Barrio-Collores , Humacao",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4815380,Collores de Orlando Rios,6,4,Barrio-Collores,Humacao
EXCELENTE PROPIEDAD BUEN PRECIO ,2 Cuartos | 3 Baños,"$175,000",Comercial,"Barrio-Pueblo , Aguas Buenas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4825592,Pueblo de Batista Realty Group,2,3,Barrio-Pueblo,Aguas Buenas
BARRIO CANIACO EN UTUADO,2 Cuartos | 1 Baños,"$195,000",Casa ,"Barrio-Caniaco , Utuado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833330,Caniaco de ESPACIO VITAL PR PROPERTIES,2,1,Barrio-Caniaco,Utuado
"Residence, San Antonio, Dorado ",4 Cuartos | 2 Baños,"$159,000",Casa,"Barrio-San Antonio , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827270,San Antonio  de RE/MAX Dorado Realty,4,2,Barrio-San Antonio,Dorado
****RIO MAR VILLAGE - PH****,1 Cuartos | 2 Baños,"$495,000",Apartamento ,"Condominio-Rio Mar Village , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4834794,Rio Mar Village de Kokopelli Real Estate,1,2,Condominio-Rio Mar Village,Río Grande
Sandy Beach with Ocean View ,4 Cuartos | 3 Baños,"$1,345,000",Casa,"Sector-Punta Rincon , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4708496,Punta Rincon de Fox Realty,4,3,Sector-Punta Rincon,Rincón
56 Rooms Hotel Investment Opportunity ,>= 6 Cuartos | > Baños,"$4,500,000",Comercial ,"Sector-La Yuca , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4818283,La Yuca de Unlimited Realty Group,0,0,Sector-La Yuca,Ponce
"Finca ubicada en Bo. Lomas Garcia, Na...",,"$69,900",Finca,"Barrio-Lomas , Naranjito",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823282,Lomas de Home Connection,0,0,Barrio-Lomas,Naranjito
Playa Jobos Finca 8.9 Cdas/5 cdas lla...,,"$2,200,000",Finca ,"Barrio-Jobos , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813216,Jobos de Sandra Torres Real Estate,0,0,Barrio-Jobos,Isabela
"Urbanización Solimar, Luquillo",3 Cuartos | 2 Baños,"$559,000",Casa,"Urbanizacion-Solimar , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801788,Solimar de Best Properties Realty Group,3,2,Urbanizacion-Solimar,Luquillo
"URB. LA MARINA, CAROLINA",3 Cuartos | 1 Baños,"$118,000",Casa Repo,"Urbanizacion-La Marina , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838409,La Marina de SOULETTE PROPERTIES,3,1,Urbanizacion-La Marina,Carolina
"PASEO DE LA FUENTE, UNICO SOLAR EN VE...",,"$825,000",Solar,"Urbanizacion-Paseo De La Fuente Los Paseos , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4802480,Paseo De La Fuente Los Paseos  de CARMEN RODRIGUEZ REALTY,0,0,Urbanizacion-Paseo De La Fuente Los Paseos,San Juan - Río Piedras
Amplio apt remodelado con acceso a la...,2 Cuartos | 3 Baños,"$650,000",Apartamento ,"Condominio-Condesa Del Mar , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832527,Condesa Del Mar de PROPERTY HUNTERS,2,3,Condominio-Condesa Del Mar,Carolina - Isla Verde
"SAN JOSE, SAN JUAN",3 Cuartos | 2 Baños,"$94,500",Casa,"Barrio-San Jose , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838410,San Jose de SOULETTE PROPERTIES,3,2,Barrio-San Jose,San Juan - Río Piedras
TERRENO COMERCIAL PARA DESARROLLO,,"$1,700,000",Comercial ,"Barrio-Coto Laurel , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4828382,Coto Laurel de TRANS GLOBAL REALTY GROUP,0,0,Barrio-Coto Laurel,Ponce
Plantation Village PH - 3BDR ,3 Cuartos | 3 Baños,"$3,600,000",Apartamento,"Condominio-Plantation Village, Dorado Beach , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4755172,"Plantation Village, Dorado Bea de Elite Realty LLC",3,3,Condominio-Plantation Village,"Dorado Beach , Dorado"
Luxury House For Sale in Alturas de T...,5 Cuartos | 4 Baños,"$695,000",Casa ,"Urbanizacion-Torrimar , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4652421,Torrimar de BM REALTY,5,4,Urbanizacion-Torrimar,Guaynabo
BELLA CASA DE 3 H Y 2.5 B MARQUESINA  ,3 Cuartos | 2 Baños,"$145,000",Casa,"Urbanizacion-Jose Mercado , Caguas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801849,Jose Mercado de 1RUIZ REALTY GROUP,3,2,Urbanizacion-Jose Mercado,Caguas
"Urb. Sabanera de Cidra, Cidra",>=6 Cuartos | 3 Baños,"$495,000",Casa ,"Urbanizacion-Sabanera de Cidra , Cidra",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4835128,Sabanera de Cidra de PUERTO RICO PROPERTY MARKET,6,3,Urbanizacion-Sabanera de Cidra,Cidra
Urb. EntreRios Trujillo Alto,4 Cuartos | 3 Baños,"$549,000",Casa,"Urbanizacion-Entrerios, Encantada , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837390,"Entrerios, Encantada  de BLACKTIE",4,3,Urbanizacion-Entrerios,"Encantada , Trujillo Alto"
*****ATENCION INVERSIONISTA***** GANG...,,"$29,900",Casa ,"Barrio-Palmas , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4831662,Palmas de BLUE PRINT FIRM INC.,0,0,Barrio-Palmas,Guayama
Serenna En Los Prados 3er nivel PH (2...,3 Cuartos | 3 Baños,"$299,000",Apt/WalkUp,"Condominio-Serenna en Los Prados , Caguas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837071,Serenna en Los Prados  de 4 U REALTY,3,3,Condominio-Serenna en Los Prados,Caguas
BRIGHTON COUNTRY CLUB ,3 Cuartos | 2 Baños,"$385,000",Casa ,"Urbanizacion-Brighton Country Club , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838399,Brighton Country Club de PUERTO RICO PROPERTY MARKET,3,2,Urbanizacion-Brighton Country Club,Dorado
PIECE OF PARADISE BY EL YUNQUE,,"$675,000",Solar,"Barrio-Rio Blanco , Naguabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4819489,Rio Blanco  de Enjolie Hernández Real Estate,0,0,Barrio-Rio Blanco,Naguabo
HACIENDA JULIANA,4 Cuartos | 3 Baños,"$390,000",Casa ,"Urbanizacion-Hacienda Juliana , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837865,Hacienda Juliana de My House Realty,4,3,Urbanizacion-Hacienda Juliana,Ponce
Bello APARTAMENTO ¡Vista al mar y ace...,3 Cuartos | 1 Baños,"$105,000",Apartamento,"Condominio-Torres de Cervantes , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833076,Torres de Cervantes de Team Realty,3,1,Condominio-Torres de Cervantes,San Juan - Río Piedras
Income Property with 3 Airbnb Apartme...,>=6 Cuartos | 5 Baños,"$1,100,000",MultiFamiliar ,"Urbanizacion-Ocean Park , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4719728,Ocean Park de PUERTO RICO CORPORATE RENTALS,6,5,Urbanizacion-Ocean Park,San Juan - Condado-Miramar
"Villa Clarita Fajardo, PR ",3 Cuartos | 1 Baños,"$145,000",Casa,"Urbanizacion-Villa Clarita , Fajardo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837219,Villa Clarita de Island Vibes Realty,3,1,Urbanizacion-Villa Clarita,Fajardo
LAS HACIENDAS !PRECIOSA!,3 Cuartos | 2 Baños,"$369,000",Casa ,"Urbanizacion-Las Haciendas , Canóvanas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836458,Las Haciendas de THE PROPERTY SHOP,3,2,Urbanizacion-Las Haciendas,Canóvanas
Bo Maton Arriba,,"$125,000",Finca,"Barrio-Maton , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827928,Maton de JK Realty,0,0,Barrio-Maton,Cayey
"INCOME PROPERTY, LAS PICUAS. NEW ON M...",1 Cuartos | 1 Baños,"$430,000",Casa ,"Barrio-Las Picuas , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4762111,Las Picuas de Enjolie Hernández Real Estate,1,1,Barrio-Las Picuas,Río Grande
Bo Rio Arriba Sector el Valle ¡Como N...,3 Cuartos | 1 Baños,"$99,999",Casa,"Barrio-Rio Arriba , Arecibo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838110,Rio Arriba de OG Consulting LLC.,3,1,Barrio-Rio Arriba,Arecibo
¡Espectacular HACIENDA TERRERA!,5 Cuartos | 4 Baños,"$669,000",Finca ,"Barrio-Mamey , Juncos",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4808273,Mamey de Team Realty,5,4,Barrio-Mamey,Juncos
"EXT. VALLE TOLIMA, CAGUAS",3 Cuartos | 2 Baños,"$124,100",Casa,"Urbanizacion-Valle Tolima , Caguas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838408,Valle Tolima de SOULETTE PROPERTIES,3,2,Urbanizacion-Valle Tolima,Caguas
"Terreno de 1,800m2",,"$65,000",Solar ,"Barrio-Cedros , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837883,Cedros de Island Vibes Realty,0,0,Barrio-Cedros,Carolina
excelente propiedad comercial para in...,3 Cuartos | 3 Baños,"$225,000",Comercial,"Barrio-Pueblo , Aguas Buenas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4825589,Pueblo de Batista Realty Group,3,3,Barrio-Pueblo,Aguas Buenas
Enorme propiedad Trujillo Alto,5 Cuartos | 3 Baños,"$490,000",Casa ,"Barrio-Gonzalez , Trujillo Alto",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4822458,Gonzalez de Orlando Rios,5,3,Barrio-Gonzalez,Trujillo Alto
"Urb. Montecasino Heights, Toa Alta",4 Cuartos | 2 Baños,"$299,995",Casa,"Urbanizacion-Montecasino Heights , Toa Alta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4826616,Montecasino Heights de RE/MAX Dorado Realty,4,2,Urbanizacion-Montecasino Heights,Toa Alta
Bo. Montellano,,"$78,000",Solar ,"Barrio-Montellano , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836598,Montellano de ESPACIO VITAL PR PROPERTIES,0,0,Barrio-Montellano,Cayey
Land in Prestigious Surf Area in Sand...,,"$250,000",Solar,"Sector-Punta Rincon , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823639,Punta Rincon de Fox Realty,0,0,Sector-Punta Rincon,Rincón
*****GARDEN HILLS NORTH******,5 Cuartos | 4 Baños,"$1,600,000",Casa ,"Urbanizacion-Garden Hills , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4812860,Garden Hills de Kokopelli Real Estate,5,4,Urbanizacion-Garden Hills,Guaynabo
"Solar ubicado en Bo. Buena Vista, Hat...",,"$120,000",Solar,"Barrio-Buena Vista , Hatillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4786635,Buena Vista de Home Connection,0,0,Barrio-Buena Vista,Hatillo
250 Cuerdas Inmensa Finca en Venta,,"$1,900,000",Finca ,"Barrio-Torrecillas , Morovis",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4733061,Torrecillas de Unlimited Realty Group,0,0,Barrio-Torrecillas,Morovis
NEGOCIO CON CLIENTELA OPERANDO EXITOS...,1 Baños,"$35,000",Comercial,"Urbanizacion-Sagrado Corazon , Guánica",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838405,No Broker,0,0,Urbanizacion-Sagrado Corazon,Guánica
Playa Jobos finca 10 Cdas frente carr...,,"$900,000",Finca ,"Barrio-Jobos , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4807226,Jobos de Sandra Torres Real Estate,0,0,Barrio-Jobos,Isabela
"La Parguera, Lajas",4 Cuartos | 2 Baños,"$390,000",Casa,"Barrio-La Parguera , Lajas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4797313,La Parguera de Best Properties Realty Group,4,2,Barrio-La Parguera,Lajas
Experience Luxury Living in Condado R...,2 Cuartos | 2 Baños,"$898,000",Apartamento ,"Condominio-Condado Real , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827291,Condado Real de PuertoRicoYourHome.Com,2,2,Condominio-Condado Real,San Juan - Condado-Miramar
