Title,Rooms,Price,Type,Location,Link,Broker,Bedrooms,Bathrooms,Neighborhood,City,region
REPARTO ALEXANDRA,3 Cuartos | 3 Baños,379000.0,Casa,"Barrio-Algarrobo , Vega Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4749876,Algarrobo de ANFE ADORNO,3,3,Barrio-Algarrobo,Vega Baja, north
Multi-Familiar de 2 Unidades en Bo. C...,>=6 Cuartos | 4 Baños,310000.0,MultiFamiliar,"Barrio-Collores , Humacao",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4815380,Collores de Orlando Rios,6,4,Barrio-Collores,Humacao, east
EXCELENTE PROPIEDAD BUEN PRECIO ,2 Cuartos | 3 Baños,175000.0,Comercial,"Barrio-Pueblo , Aguas Buenas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4825592,Pueblo de Batista Realty Group,2,3,Barrio-Pueblo,Aguas Buenas, east
BARRIO CANIACO EN UTUADO,2 Cuartos | 1 Baños,195000.0,Casa,"Barrio-Caniaco , Utuado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833330,Caniaco de ESPACIO VITAL PR PROPERTIES,2,1,Barrio-Caniaco,Utuado, north
"Residence, San Antonio, Dorado ",4 Cuartos | 2 Baños,159000.0,Casa,"Barrio-San Antonio , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4827270,San Antonio  de RE/MAX Dorado Realty,4,2,Barrio-San Antonio,Dorado, north
****RIO MAR VILLAGE - PH****,1 Cuartos | 2 Baños,495000.0,Apartamento,"Condominio-Rio Mar Village , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4834794,Rio Mar Village de Kokopelli Real Estate,1,2,Condominio-Rio Mar Village,Río Grande, east
Sandy Beach with Ocean View ,4 Cuartos | 3 Baños,1345000.0,Casa,"Sector-Punta Rincon , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4708496,Punta Rincon de Fox Realty,4,3,Sector-Punta Rincon,Rincón, west
56 Rooms Hotel Investment Opportunity ,>= 6 Cuartos | > Baños,4500000.0,Comercial,"Sector-La Yuca , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4818283,La Yuca de Unlimited Realty Group,0,0,Sector-La Yuca,Ponce, south
"Finca ubicada en Bo. Lomas Garcia, Na...",,69900.0,Finca,"Barrio-Lomas , Naranjito",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823282,Lomas de Home Connection,0,0,Barrio-Lomas,Naranjito, north
Playa Jobos Finca 8.9 Cdas/5 cdas lla...,,2200000.0,Finca,"Barrio-Jobos , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813216,Jobos de Sandra Torres Real Estate,0,0,Barrio-Jobos,Isabela, west
"Urbanización Solimar, Luquillo",3 Cuartos | 2 Baños,559000.0,Casa,"Urbanizacion-Solimar , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4801788,Solimar de Best Properties Realty Group,3,2,Urbanizacion-Solimar,Luquillo, east
"URB. LA MARINA, CAROLINA",3 Cuartos | 1 Baños,118000.0,Casa Repo,"Urbanizacion-La Marina , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838409,La Marina de SOULETTE PROPERTIES,3,1,Urbanizacion-La Marina,Carolina, metro
"PASEO DE LA FUENTE, UNICO SOLAR EN VE...",,825000.0,Solar,"Urbanizacion-Paseo De La Fuente Los Paseos , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4802480,Paseo De La Fuente Los Paseos  de CARMEN RODRIGUEZ REALTY,0,0,Urbanizacion-Paseo De La Fuente Los Paseos,San Juan - Río Piedras, metro
Amplio apt remodelado con acceso a la...,2 Cuartos | 3 Baños,650000.0,Apartamento,"Condominio-Condesa Del Mar , Carolina - Isla Verde",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832527,Condesa Del Mar de PROPERTY HUNTERS,2,3,Condominio-Condesa Del Mar,Carolina - Isla Verde, metro
"SAN JOSE, SAN JUAN",3 Cuartos | 2 Baños,94500.0,Casa,"Barrio-San Jose , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838410,San Jose de SOULETTE PROPERTIES,3,2,Barrio-San Jose,San Juan - Río Piedras, metro
TERRENO COMERCIAL PARA DESARROLLO,,1700000.0,Comercial,"Barrio-Coto Laurel , Ponce",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4828382,Coto Laurel de TRANS GLOBAL REALTY GROUP,0,0,Barrio-Coto Laurel,Ponce, south
Plantation Village PH - 3BDR ,3 Cuartos | 3 Baños,3600000.0,Apartamento,"Condominio-Plantation Village, Dorado Beach , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4755172,"Plantation Village, Dorado Bea de Elite Realty LLC",3,3,Condominio-Plantation Village,"Dorado Beach , Dorado", north
Luxury House For Sale in Alturas de T...,5 Cuartos | 4 Baños,695000.0,Casa,"Urbanizacion-Torrimar , Guaynabo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4652421,Torrimar de BM REALTY,5,4,Urbanizacion-Torrimar,Guaynabo, metro
