title,rooms,price,type,location,link,broker,piclink,bedrooms,bathrooms,neighborhood,city,region
Unique Investment Opportunity! Ocean ...,5 Cuartos | 5 Baños,650000.0,Casa,"Urbanizacion-Ocean Park , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823723,Ocean Park de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/9/16/09162024092552cfrtlo11.jpg,5,5,Urbanizacion-Ocean Park,San Juan - Condado-Miramar, metro
CANDELARIA- VENTA CASH,4 Cuartos | 2 Baños,124995.0,MultiFamiliar ,"Barrio-Candelaria , Toa Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836690,Candelaria de My House Realty,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024192547tvev223t.jpeg,4,2,Barrio-Candelaria,Toa Baja, metro
Apartamento Arroyo Beach (segundo pis...,2 Cuartos | 2 Baños,195000.0,Apartamento,"Condominio-Arroyo Beach Resort , Arroyo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4820277,Arroyo Beach Resort de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/8/26/082620240742340y0x4czz.jpeg,2,2,Condominio-Arroyo Beach Resort,Arroyo, south
PH Condo en Haudimar Frente a la play...,3 Cuartos | 3 Baños,550000.0,Apartamento ,"Barrio-Bajuras , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838467,Bajuras de Graves Realty,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/01122025075728hauubw1p.jpeg,3,3,Barrio-Bajuras,Isabela, west
LAS VISTAS CLUSTER 6  2/2.5 SPECTACUL...,2 Cuartos | 2 Baños,750000.0,Apartamento,"Condominio-Las Vistas De Rio Mar , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4786708,Las Vistas De Rio Mar de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/1/18/01182024152843ou2h0c3s.jpg,2,2,Condominio-Las Vistas De Rio Mar,Río Grande, east
Jájome Alto Cayey,,125000.0,Finca New,"Barrio-Jajome Alto , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836629,Jajome Alto de KNIGHT REALTY & PROPERTY MGMT,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024095844yuvatwlp.jpeg,0,0,Barrio-Jajome Alto,Cayey, east
TERRENO URB. REMANSO TAINO CON 821 M....,,55000.0,Solar,"Urbanizacion-Remanso Taino , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4770352,Remanso Taino de ANFE ADORNO,https://imgcache.clasificadosonline.com//PP/FS/2023/10/10/10102023154637xzrmnx3n.JPG,0,0,Urbanizacion-Remanso Taino,Carolina, metro
Cluster 1 Rio Mar con vista al Campo ...,2 Cuartos | 2 Baños,650000.0,Apartamento ,"Condominio-Rio Mar Cluster I , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816462,Rio Mar Cluster I de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/7/26/07262024093807bpbxezbd.jpg,2,2,Condominio-Rio Mar Cluster I,Río Grande, east
2-Story Apartmento for Sale ,3 Cuartos | 2 Baños,499999.0,Apartamento,"Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838464,Harbour Lakes Palmas del Mar de Jose Juan Vazquez,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/011220250748321t5shuwe.jpg,3,2,Condominio-Harbour Lakes Palmas del Mar,Humacao - Palmas, east
BEACH FRONT LAS PICUAS ,,699000.0,Solar ,"Barrio-Las Picuas , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813846,Las Picuas de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/7/5/07052024102503h1dvl3gp.jpg,0,0,Barrio-Las Picuas,Río Grande, east
